latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
52.15636,10.40286,326.55,0.61,0.71,6/30/2025,9,N,VIIRS,n,2.0NRT,286.86,3.03,N
52.16343,10.43088,296.86,0.61,0.71,6/30/2025,9,N,VIIRS,n,2.0NRT,284.71,1.42,N
52.1633,10.42141,298.87,0.61,0.71,6/30/2025,9,N,VIIRS,n,2.0NRT,284.61,1.42,N
52.16318,10.41197,310.98,0.61,0.71,6/30/2025,9,N,VIIRS,n,2.0NRT,286.32,3.03,N
48.13008,41.99465,300.06,0.33,0.55,6/30/2025,9,N,VIIRS,n,2.0NRT,284.63,0.3,N
52.93283,34.45094,304.73,0.42,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,282.9,0.66,N
52.17323,14.62672,333.51,0.41,0.6,6/30/2025,9,N,VIIRS,n,2.0NRT,286.11,1.92,N
54.56807,22.17804,302.67,0.42,0.45,6/30/2025,9,N,VIIRS,n,2.0NRT,282.47,0.75,N
52.16548,10.42451,298.15,0.61,0.71,6/30/2025,9,N,VIIRS,n,2.0NRT,284.62,1.37,N
51.11758,35.04621,319.96,0.46,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,285.72,1.78,N
51.1707,34.76829,296.35,0.45,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,284.67,0.45,N
52.16532,10.41505,305.85,0.61,0.71,6/30/2025,9,N,VIIRS,n,2.0NRT,285.42,2.27,N
51.13879,34.92447,299.34,0.45,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,284.73,0.55,N
51.11107,35.02189,307.96,0.46,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,285.68,0.83,N
51.11034,35.02024,307.54,0.46,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,285.6,0.9,N
52.1693,14.62489,311.14,0.41,0.6,6/30/2025,9,N,VIIRS,n,2.0NRT,285.55,1.41,N
51.01139,35.25864,298.73,0.47,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,285,0.55,N
50.23249,33.36541,328.54,0.43,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,287.51,3.38,N
53.14276,8.67873,296,0.72,0.76,6/30/2025,9,N,VIIRS,n,2.0NRT,282.98,1.64,N
48.47998,44.64851,299.85,0.42,0.61,6/30/2025,9,N,VIIRS,n,2.0NRT,285.26,0.6,N
52.17496,14.62524,317.19,0.41,0.6,6/30/2025,9,N,VIIRS,n,2.0NRT,285.74,1.48,N
53.13564,8.67932,311.51,0.72,0.76,6/30/2025,9,N,VIIRS,n,2.0NRT,284.21,4.1,N
52.24208,16.42869,309.44,0.34,0.56,6/30/2025,9,N,VIIRS,n,2.0NRT,284.67,0.52,N
51.89215,29.33733,308.92,0.39,0.36,6/30/2025,9,N,VIIRS,n,2.0NRT,285.21,0.97,N
51.88887,29.33605,302.96,0.39,0.36,6/30/2025,9,N,VIIRS,n,2.0NRT,284.38,0.47,N
52.3983,12.49954,304.3,0.5,0.66,6/30/2025,9,N,VIIRS,n,2.0NRT,284.42,2.05,N
52.71559,15.84997,316.77,0.36,0.58,6/30/2025,9,N,VIIRS,n,2.0NRT,285.48,1.27,N
50.11494,36.11186,301.28,0.52,0.41,6/30/2025,9,N,VIIRS,n,2.0NRT,286.14,0.67,N
52.4024,12.49981,303.71,0.5,0.66,6/30/2025,9,N,VIIRS,n,2.0NRT,285.45,1.03,N
50.60811,33.51328,299.84,0.43,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,285.74,0.48,N
52.4024,12.49214,298.01,0.5,0.66,6/30/2025,9,N,VIIRS,n,2.0NRT,285.03,1.63,N
50.91189,44.53454,304.12,0.34,0.56,6/30/2025,9,N,VIIRS,n,2.0NRT,283.26,0.68,N
50.91187,44.53389,303.98,0.34,0.56,6/30/2025,9,N,VIIRS,n,2.0NRT,284.3,0.59,N
53.39471,32.01044,300.26,0.39,0.36,6/30/2025,9,N,VIIRS,n,2.0NRT,284.74,0.68,N
53.39376,32.01613,298.34,0.39,0.36,6/30/2025,9,N,VIIRS,n,2.0NRT,284.59,0.68,N
57.05977,9.97524,311.5,0.63,0.72,6/30/2025,9,N,VIIRS,n,2.0NRT,283.33,2.25,N
54.24607,38.86972,295.14,0.52,0.41,6/30/2025,9,N,VIIRS,n,2.0NRT,283.05,0.58,N
54.21449,38.92775,310.41,0.52,0.42,6/30/2025,9,N,VIIRS,n,2.0NRT,284.64,1.84,N
56.31721,22.85543,298.03,0.41,0.45,6/30/2025,9,N,VIIRS,n,2.0NRT,281.62,0.51,N
55.51107,28.56661,322.98,0.42,0.37,6/30/2025,9,N,VIIRS,n,2.0NRT,283.77,2.25,N
55.50515,28.58498,299.15,0.42,0.37,6/30/2025,9,N,VIIRS,n,2.0NRT,282.11,0.3,N
52.55779,39.57577,318.32,0.4,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,282.48,2.24,N
53.44431,34.41703,327.58,0.41,0.37,6/30/2025,9,N,VIIRS,n,2.0NRT,288.23,3.31,N
51.66751,34.20009,299.65,0.43,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,283.63,0.69,N
51.66414,34.1984,301.09,0.43,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,283.56,0.69,N
51.66297,34.20441,296.69,0.43,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,283.44,0.83,N
51.36115,35.6226,297.82,0.47,0.4,6/30/2025,9,N,VIIRS,n,2.0NRT,284.9,0.32,N
53.52322,9.89547,301,0.64,0.72,6/30/2025,9,N,VIIRS,n,2.0NRT,283.92,2.13,N
53.69747,18.92333,295.64,0.55,0.51,6/30/2025,9,N,VIIRS,n,2.0NRT,284.57,0.96,N
53.52347,9.90575,319.36,0.64,0.72,6/30/2025,9,N,VIIRS,n,2.0NRT,283.42,2.13,N
53.52302,9.90065,325.79,0.64,0.72,6/30/2025,9,N,VIIRS,n,2.0NRT,284.07,3.78,N
50.03881,18.4818,311.21,0.53,0.5,6/30/2025,9,N,VIIRS,n,2.0NRT,286.67,1.77,N
50.41718,18.13855,300.56,0.56,0.51,6/30/2025,9,N,VIIRS,n,2.0NRT,288.51,1.4,N
51.19181,35.24706,311.84,0.46,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,285.39,1.02,N
50.04198,18.48387,300.63,0.53,0.5,6/30/2025,9,N,VIIRS,n,2.0NRT,287.97,2.1,N
48.11316,36.39488,299.53,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,280.64,1.29,N
51.29742,34.30536,305.02,0.44,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,285.83,3.88,N
51.29402,34.30365,327.87,0.44,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,286.4,3.88,N
48.11547,36.38475,305.78,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,280.64,3.5,N
51.29282,34.3097,323.75,0.44,0.38,6/30/2025,9,N,VIIRS,n,2.0NRT,284.98,3.88,N
51.14225,34.92624,300.39,0.45,0.39,6/30/2025,9,N,VIIRS,n,2.0NRT,284.73,0.55,N
48.11431,36.38981,341.64,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,286.23,3.5,N
48.11701,36.39689,298.19,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,281.78,1.23,N
53.27225,24.44479,299.78,0.51,0.41,6/30/2025,9,N,VIIRS,n,2.0NRT,285.28,0.64,N
52.60333,29.7828,298.97,0.39,0.36,6/30/2025,9,N,VIIRS,n,2.0NRT,284.55,0.4,N
48.11817,36.39183,301.18,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,280.89,1.26,N
53.27073,24.44253,302.65,0.51,0.41,6/30/2025,9,N,VIIRS,n,2.0NRT,285.37,1.07,N
48.1171,36.39843,295.9,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,281.58,0.82,N
48.11827,36.39339,299.11,0.39,0.44,6/30/2025,9,N,VIIRS,n,2.0NRT,280.97,0.82,N
